Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Gadidae,Lotidae,Pleuronectidae,Scopthalmidae,Pleuronectidae/Scopthalmidae,Congridae,Trachinidae,Belonidae,Clupeidae,Scombridae,Cottidae,Syngnathidae,Squalidae,Zoarcidae,Triglidae,Sparidae,Labridae,Carangidae,Gobiidae,Moronidae,Anarhichadidae,Callionymidae,Ammodytidae,Xiphiidae,Lamnidae,Triakidae,Rajidae,Mugilidae,Engraulidae,Anguillidae,Salmonidae,Acipenseridae,Gasterosteidae,Cyprinidae,Percidae,Esocidae,Siluridae
41,Klintesø,55.961101,11.583404,Shell midden,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Kolding Fjord,55.50167,9.592336,Submerged settlement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kolind (C. Neergaard),56.43,10.27,Shell midden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Kolind (C. Neergaard),56.43,10.27,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Koustrup,56.303042,10.74091,Settlement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Krabbesholm II (S. H. Andersen & J. Simonsen),56.5751,9.05061,Shell midden,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
47,Krabbesholm II (S. H. Andersen & J. Simonsen),56.5751,9.05061,Shell midden,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
48,Krabbesholm II (S. H. Andersen & J. Simonsen),56.5751,9.05061,Shell midden,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
49,Krabbesholm II (S. H. Andersen & J. Simonsen),56.5751,9.05061,Shell midden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,Lidsø,54.686022,11.326419,Settlement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51,Lindø Nr. 2,54.879065,10.705086,Settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,Lollikhuse,55.76049,12.022082,Shell midden,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Lystrup Enge,56.237504,10.237777,Shell midden/submerged,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
54,Mejlgård (J. Worsaae; J. Steenstrup; F. Sehested; A. P. Madsen),56.501417,10.658606,Shell midden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
55,Mejlgård (H. H. Andersen),56.501417,10.658606,Shell midden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,Mejlgård (S. H. Andersen),56.501417,10.658606,Shell midden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
57,Møllegabet II,54.901142,10.420017,Submerged,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
58,Mosegården X,57.032119,10.257343,Settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,Muldbjerg I,55.591237,11.540044,Waterlogged settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
60,"Nederst, midden I",56.337772,10.627791,Shell midden,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
61,"Nederst, midden II",56.337772,10.627791,Shell midden,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
62,"Nekselø, Pandebjerg",55.782179,11.289167,Shell midden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Nivågård (C. Neergaard),55.927094,12.510882,Shell midden,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,Nivågård (K. M. Hansen),55.927094,12.510882,Shell midden,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0
65,Norslund X2,56.011676,10.224106,Shell midden,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,Norsminde I (S. H. Andersen),56.026524,10.255637,Shell midden,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
67,Norsminde I (S. H. Andersen),56.026524,10.255637,Shell midden,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
68,Norsminde I (S. H. Andersen),56.026524,10.255637,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Ølby Lyng,55.486106,12.146154,Waterlogged,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,Ordrup Næs,55.762736,12.579822,Waterlogged,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Orenæs, Kabel 8",54.958816,11.84396,Submerged,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,Østenkær,57.563492,10.425588,Waterlogged,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
73,Præstelyngen,55.590885,11.562123,Waterlogged settlement,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
74,Ringkloster,56.01304,9.966107,Waterlogged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
75,Ringkloster,56.01304,9.966107,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
76,Rødhals (T. K. Thorsen),55.916153,11.082509,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Rødhals (M. Stafford),55.916153,11.082509,Shell midden,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
78,Ronæs Skov,55.444324,9.806565,Submerged,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
79,Saltpetermosen,55.934937,12.301302,Waterlogged settlement,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
80,Sandhuse Mose,55.61155,11.300101,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
