long,lat,systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsb,anlnr,anlaegstyp,anlaegsbet,dateringsk,datering,fra_aar,til_aar,kommunenav,kommunenr,sevaerdigh,url
9.938203103,55.86141338,144995,160512,72,,,Elbæk Strand,"Landskab, herunder vådområde",1,3188,Skaldynge,CXXX,Jernalder,-500,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144995/
12.02783679,55.94181584,145997,10503,68,,,Kregme Badehotel,Offentlige bygninger og pladser,2,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Halsnæs,260,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/145997/
8.398190955,56.67575719,145998,110613,240,,,Sindrup Vejle,"Vej-, gade-, o.lign., evt. nr.+ bynavn",1,3188,Skaldynge,AXXX,Stenalder,-3950,-3301,Thisted,787,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/145998/
12.03926887,56.00222355,146066,10510,26,,,Grønnehavegaard,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-9000,-3951,Halsnæs,260,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/146066/
9.043956779,56.83657619,146134,130202,207,,,Kærshale,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Skive,779,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/146134/
9.043956779,56.83657619,146134,130202,207,,,Kærshale,Uspecificeret,2,3188,Skaldynge,AXXX,Stenalder,-3950,-1701,Skive,779,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/146134/
10.7768313,56.41201245,146632,140105,159,,,Sundbogård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/146632/
10.7768313,56.41201245,146632,140105,159,,,Sundbogård,"Ejendom, gård, hus",2,3188,Skaldynge,AXXX,Stenalder,-2900,-2601,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/146632/
10.64783667,56.38914488,146635,140115,258,,,Pognæs,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/146635/
10.10672994,55.56107082,147381,80608,77,,,Kristianslund,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Nordfyns,480,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/147381/
