Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Phocidae (Seal unspec.),Halichoerus grypus (Grey seal),Pagophilus groenlandicus (Harp seal),Phoca vitulina (Harbour seal),Pagophilus groenlandicus (Harp seal)/Phoca vitulina (Harbour seal),Phoca largha (Spotted seal),Pusa hispida (Ringed seal),Cetacea (Cetacean unspec.),Mysticeti (Baleen whale unspec.),Large whale,Small whale,Balaenoptera physalus (Fin whale),Physeter macrocephalus (Sperm whale),Hyperoodon ampullatus (Northern bottlenose whale),Delphinapterus leucas (Beluga whale),Delphinidae (Dolphin unspec.),Delphinus delphis (Common dolphin),Globicephala macrorhynchus (Short-finned pilot whale)/Orcinus orca (Orca),Lagenorhynchus acutus (Atlantic white-sided dolphin)/Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin)/Tursiops truncatus (Bottlenose dolphin),Orcinus orca (Orca),Stenella sp. (Springer),Tursiops truncatus (Bottlenose dolphin),Delphinus delphis (Common dolphin)/Phocoena phocoena (Common porpoise),Phocoena phocoena (Common porpoise)
25,Fannerup II,56.399837,10.713417,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Fårevejle Kro,55.81244,11.457186,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Flynderhage,56.011387,10.222831,Shell midden,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
28,Frennemark,55.127608,15.151473,Open air,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Godsted,54.688073,11.564188,Waterlogged settlement,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Gudumlund,56.939127,10.109587,Shell midden,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Havelse Mølle,55.903762,12.068434,Shell midden,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Havnelev,55.268169,12.339675,Open air,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Havnø (Nationalmuseet),56.707484,10.174768,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Havnø (S. H. Andersen),56.707484,10.174768,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Havnø (S. H. Andersen),56.707484,10.174768,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Helgenæs (cf. Vængesø I; Nationalmuseet),56.109968,10.508426,Open air,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Hesselø,56.196689,11.704747,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Hjarnø Sund,55.823644,10.061343,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Hjarnø Vesterhoved,55.828973,10.05648,Shell midden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Hjerk Nor,56.69,8.92,Shell midden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Holme Skanse,56.239993,10.74783,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Holmegård,56.251,10.755,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Jægerspris,55.866908,11.983611,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Kalvø (S. H. Andersen),56.018943,10.24636,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Kalvø (S. H. Andersen),56.018943,10.24636,Shell midden,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Kassemose,55.960365,12.006878,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Kildegaard,55.608995,11.536535,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Klintesø (Nationalmuseet),55.961101,11.583404,Shell midden,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Kolding Fjord,55.50167,9.592336,Submerged settlement,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Kolind,56.43,10.27,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
